feature,importance
Conflict_4,0.07298009381141878
Income,0.06448879145300185
Duration,0.05764328245918469
Mental_Disturbances_3,0.05645255789200815
Conflict_3,0.05155414585879642
Disappointing_Thing_3,0.04725865248704365
BMI,0.04192231487683773
Working_Hour,0.0413718898370447
Staying_with_Family,0.035117572652848525
Age code,0.03238428245297202
Private_Practice_4,0.0309143382323891
Gender,0.028696539811740536
Feelings_2,0.02837053977718561
Vacation_with_Family_2,0.028010263737380078
Liabilities,0.02615617278589413
Mental_Disturbances_4,0.022195593984504165
Weekly_Vacation,0.021097425002390924
Designation_3,0.020572802293140152
Working_Place_2,0.0191505430908153
Private_Practice_3,0.01901512839096915
Dissatisfaction_5,0.018646415349709844
Politics,0.018197081314379724
Marital_Status_2,0.017399753374280624
Flexibility,0.01730544326465384
Family_Functions_2,0.015344567389918098
Family_members,0.014978030323630534
Specialization_9,0.012950680054656119
Feelings_5,0.012473197577067304
Dissatisfaction_2,0.01197542044659832
Designation_4,0.011528882041965768
Disappointing_Thing_4,0.010790089363211172
Designation_8,0.009692091369921232
Designation_5,0.007256060242767614
Family_Functions_3,0.006373604995855644
Mental_Disturbances_2,0.005257459430806492
Private_Practice_2,0.0050793284040553
Dissatisfaction_3,0.005004161668368604
Specialization_15,0.004963728384877102
Conflict_2,0.004750019711175384
Mental_Disturbances_5,0.004352447567186155
Designation_2,0.004315419655441516
Vacation_with_Family_3,0.004239497822347762
Feelings_3,0.0033172584728228356
Specialization_2,0.0029974331919991873
Specialization_11,0.0029801938266870716
Designation_9,0.002419973493585396
Specialization_21,0.002047714515335754
Disappointing_Thing_2,0.0020017869860928395
Designation_7,0.001996229028607186
Specialization_6,0.0016657645557559269
Specialization_4,0.0015583008763796111
Disappointing_Thing_5,0.0013243294934793157
Mental_Disturbances_7,0.001278185206170477
Dissatisfaction_7,0.001134944443738436
Dissatisfaction_4,0.0010792474023389215
Specialization_3,0.0010745975830577595
Specialization_5,0.000791169439344408
Dissatisfaction_6,0.0007348957909494915
Specialization_10,0.0006864396743692049
Specialization_19,0.0006187685357123977
Specialization_17,0.0005637003168010746
Specialization_16,0.0005138297760411847
Specialization_14,0.0005098555604064693
Specialization_20,0.0002948547066579504
Disappointing_Thing_9,7.541296037858702e-05
Designation_13,6.749589851365853e-05
Specialization_8,4.1307624334997e-05
Disappointing_Thing_7,0.0
